DATE,INF,DP,DM,DC,DS,TS,DT,RF_daily,RF_monthly
2024-06-08,0.004629256422531462,0.018304664208332648,-0.00040653734221314123,0.01189318505771736,-0.0033333333333332993,-4.457333333333334,0.004666666666666153,0.020234023022003278,0.4257753591986768
2024-06-09,0.004629042132296108,0.0183013142142129,-0.0004065389949422636,0.011891770747434006,-0.0033333333333334103,-4.452666666666667,0.004666666666666153,0.02022899396589839,0.4256693208674722
2024-06-10,0.0046288278619101625,0.018297965446042303,-0.0004065406476935905,0.01189035677346603,-0.0033333333333332993,-4.4479999999999995,0.004666666666667929,0.02022396484631095,0.4255632813046306
2024-06-11,0.0046286136113514245,0.018294617903177168,-0.00040654230045601974,0.011888943135702434,-0.010000000000000009,-4.416666666666666,0.031333333333333435,0.02021893566326316,0.4254572405101298
2024-06-12,0.0046283993806198916,0.018291271584929405,-0.0004065439532295512,0.011887529834032224,0.030000000000000027,-4.445333333333333,-0.028666666666667062,0.020213906416755023,0.42535119848396974
2024-06-13,0.004628185169715566,0.018287926490633124,-0.0004065456060141851,0.011886116868344404,0.0,-4.414,0.031333333333333435,0.02020887710674213,0.42524515522606166
2024-06-14,0.004627970978660651,0.01828458261957804,-0.0004065472588099212,0.011884704238505779,-0.009999999999999898,-4.382666666666667,0.03133333333333255,0.02020384773329109,0.42513911073642774
2024-06-15,0.00462775680741074,0.018281239971142654,-0.0004065489116278619,0.011883291944405353,0.0,-4.384666666666667,-0.0019999999999997797,0.020198818296335297,0.4250330650150014
2024-06-16,0.004627542655988035,0.01827789854463889,-0.0004065505644347003,0.01188187998593213,0.0,-4.386666666666668,-0.002000000000000668,0.02019378879589695,0.42492701806178257
2024-06-17,0.00462732852441474,0.01827455833940085,-0.0004065522172970502,0.011880468362908514,0.0,-4.3886666666666665,-0.0019999999999988916,0.020188759231998255,0.4248209698767269
2024-06-18,0.004627114412602043,0.018271219354740444,-0.0004065538701482978,0.011879057075312312,-0.010000000000000009,-4.3773333333333335,0.011333333333332973,0.020183729604617007,0.4247149204598122
2024-06-19,0.004626900320638757,0.018267881590013985,-0.0004065555230106477,0.011877646122943725,0.0,-4.3660000000000005,0.011333333333332973,0.020178699913731002,0.424608869810994
2024-06-20,0.004626686248480474,0.01826454504455558,-0.00040655717589520226,0.01187623550571396,0.0,-4.354666666666667,0.011333333333333862,0.02017367015938465,0.42450281793025013
2024-06-21,0.004626472196127195,0.01826120971765494,-0.00040655882879085903,0.011874825223489819,0.0,-4.343333333333334,0.011333333333332973,0.02016864034153354,0.4243967648175584
2024-06-22,0.0046262581635789215,0.018257875608690577,-0.00040656048169761814,0.01187341527618251,0.010000000000000009,-4.358666666666666,-0.015333333333332533,0.020163610460199877,0.42429071047287437
2024-06-23,0.004626044150835651,0.0182545427169744,-0.00040656213461547953,0.011872005663658834,0.010000000000000009,-4.374,-0.015333333333333421,0.02015858051538366,0.42418465489617585
2024-06-24,0.004625830157897387,0.018251211041862715,-0.00040656378755554555,0.011870596385785595,0.010000000000000009,-4.389333333333333,-0.015333333333333421,0.02015355050706269,0.42407859808744064
2024-06-25,0.004625616184741923,0.01824788058264523,-0.00040656544049561146,0.011869187442429598,0.0,-4.368,0.02133333333333276,0.020148520435259165,0.4239725400466243
2024-06-26,0.004625402231391463,0.018244551338700465,-0.00040656709345788215,0.01186777883352425,-0.010000000000000009,-4.356666666666667,0.011333333333332973,0.020143490299950884,0.4238664807737047
2024-06-27,0.004625188297823806,0.018241223309340315,-0.0004065687464201527,0.011866370558914154,0.0,-4.355333333333334,0.0013333333333331865,0.020138460101137845,0.42376042026865957
2024-06-28,0.00462497438403895,0.018237896493921102,-0.00040657039942683246,0.011864962618488312,0.020000000000000018,-4.3740000000000006,-0.018666666666666387,0.020133429838842254,0.4236543585314445
2024-06-29,0.0046247604900590995,0.018234570891732527,-0.00040657205242240996,0.01186355501209133,-0.0033333333333332993,-4.3693333333333335,0.004666666666667041,0.020128399513041906,0.4235482955620151
